Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,USA,0,42,62812.093010000004,11609.38091,238961.2505,28598.458769999997
Harlan Barnes,eu.dolor@diam.co.uk,USA,0,41,66646.89292,9572.957135999999,530973.9078,31169.52566
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,USA,1,43,53798.551120000004,11160.35506,638467.1773,33619.70921
Jade Cunningham,malesuada@dignissim.com,USA,1,58,79370.03798,14426.16485,548599.0524,53747.36313
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,USA,1,57,59729.1513,5358.712177,560304.0671,46375.462479999995
Carla Hester,mi@Aliquamerat.edu,USA,1,57,68499.85162,14179.472440000001,428485.3604,42142.997839999996
Griffin Rivera,vehicula@at.co.uk,USA,1,47,39814.522000000004,5958.460188,326373.1812,17082.705489999997
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,USA,1,50,51752.23445,10985.696559999998,629312.4041,38359.98265
Marny Obrien,Phasellus@sedsemegestas.org,USA,0,47,58139.2591,3440.8237990000002,630059.0274,33821.6141
Rhonda Chavez,nec@nuncest.com,USA,1,43,53457.10132,12884.07868,476643.3544,45279.506010000005
Jerome Rowe,ipsum.cursus@dui.org,USA,1,50,73348.70745,8270.707359,612738.6171,44304.51309
Akeem Gibson,turpis.egestas.Fusce@purus.edu,USA,1,53,55421.657329999995,10014.969290000001,293862.5123,48545.81046
Quin Smith,nulla@ipsum.edu,USA,0,44,37336.3383,10218.32092,430907.1673,13806.0334
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,USA,0,48,68304.47297999999,9466.995128,420322.0702,56919.87571
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,USA,0,55,72776.00382,10597.638140000001,146344.8965,40464.03356
Thomas Williams,aliquet.molestie@ut.org,USA,1,53,64662.300610000006,11326.03434,481433.4324,62723.26723
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,USA,0,45,63259.878370000006,11495.549990000001,370356.2223,50839.72067
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,USA,1,48,52682.06401,12514.52029,549443.5886,38248.712439999996
Sloane Mann,at.augue@augue.net,USA,1,52,54503.14423,7377.820914,431098.9998,38503.99241
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,USA,0,59,55368.237160000004,13272.94647,566022.1306,42533.52402999999
Blythe Romero,Sed.eu@risusNuncac.co.uk,USA,1,52,63435.86304,11878.03779,480588.2345,52933.95379
Zelenia Byers,auctor.non@sapien.co.uk,USA,0,48,64347.345310000004,10905.36628,307226.0977,38173.31525
Nola Wiggins,Aliquam@augue.edu,USA,1,46,65176.69055,7698.552234000001,497526.4566,44732.86004
Micah Wheeler,arcu.eu@tincidunt.org,USA,1,47,52027.63837,11960.85377,688466.0503,38915.49432
Caryn Hendrix,condimentum.Donec@duiCum.com,USA,0,40,69612.0123,8125.5989930000005,499086.3442,52765.40193
Hedda Miranda,scelerisque@magnased.com,USA,0,53,53065.57175,17805.57607,429440.3297,48645.58412
Ulric Lynn,sociis@vulputateveliteu.com,USA,0,28,82842.53385,13102.15805,315775.3207,23425.553930000002
Alma Pope,Nunc.mauris.Morbi@turpis.org,USA,0,56,61388.627089999994,14270.007309999999,341691.9337,55020.97185
Gemma Hendrix,lobortis@non.co.uk,USA,1,46,100000.0,17452.92179,188032.0778,58034.31809
Castor Wood,velit.Pellentesque@Nulla.net,USA,1,40,62891.865560000006,12522.94052,583230.976,46207.35972
Herman Stevenson,sociosqu.ad.litora@erat.com,USA,1,33,39627.1248,9371.511070999999,319837.6593,6802.569630000002
Adrienne Bolton,dictum@magnaPraesent.ca,USA,1,40,68859.56489,13417.02027,486069.073,30525.36073
Dahlia Cleveland,tincidunt.tempus@idsapien.co.uk,USA,1,51,82358.22683,8092.475103,655934.4666,56998.89316000001
Keane Browning,Curabitur@acipsumPhasellus.co.uk,USA,0,51,67904.39895,11417.30952,487435.964,49507.462139999996
Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,USA,0,46,65311.68225,7988.753685,215673.5384,28303.348169999997
Coby Charles,nec@dolornonummyac.com,USA,0,51,59593.2624,12252.73058,612242.7755,38463.143110000005
Amery Cortez,semper.et.lacinia@Morbiquisurna.ca,USA,1,50,47460.54809,7405.5342709999995,430624.8142,30918.67458
Uriel Bradshaw,ultrices@Integersemelit.com,USA,1,22,43131.78411,10917.140940000001,326742.7352,17517.22509
Fredericka Sanders,Curabitur@Infaucibus.ca,USA,0,51,52263.69806,8838.759509,213040.9606,31768.524039999997
Christopher Stevens,blandit.enim@lacusvariuset.org,USA,1,48,80959.5331,4499.921096,379749.9152,53936.19221
Rachel Ashley,tincidunt.tempus.risus@posuerecubiliaCurae.co.uk,USA,0,42,66417.66597,9183.327620999999,513340.0097,35916.67186
Lael Wright,a@consequatpurusMaecenas.com,USA,1,46,58457.41492,12491.01273,410655.9947,35794.470330000004
Ryder Shaffer,Phasellus.dapibus.quam@inhendrerit.ca,USA,0,38,50571.459689999996,13338.328520000001,348833.8403,23885.20985
Eric Noel,lacinia.at.iaculis@Fuscefermentumfermentum.edu,USA,1,39,50943.162560000004,10816.8855,299734.1278,27411.73813
Tamara Guy,nec.eleifend@orci.org,USA,1,61,79792.13096000001,14245.53319,497950.2933,63559.43520000001
Quincy Bell,in@Duisgravida.co.uk,USA,0,55,70787.27764,10155.34095,853913.8532,54257.09447000001
Lee Taylor,Vivamus.nisi.Mauris@miAliquam.co.uk,USA,1,42,56098.50773,11675.284959999999,320228.6451,35913.7615
Kenneth Pope,vitae.sodales.at@molestiearcuSed.org,USA,0,51,57478.37922,2230.096344,158979.7102,24231.46619
Reese Vance,egestas@malesuadavelvenenatis.com,USA,1,41,60181.40633,7094.896556999999,390312.1715,30611.24231
Quon Carroll,sodales@pharetra.com,USA,0,40,74445.08167999999,7915.758178,527420.7269,41290.35708
Magee Davidson,Quisque@tempor.net,USA,1,41,38406.7789,11023.00268,451846.1995,35306.23914
Leilani Gross,dignissim@mollisDuissit.org,USA,0,56,64616.6881,12378.54089,779925.7892,70772.39065
Morgan William,sociis.natoque.penatibus@uterat.ca,USA,0,46,68107.93144,7813.602656999999,455609.1429,51363.75516
Francesca Cervantes,leo@sitametdapibus.edu,USA,1,37,72471.81532000001,11216.88676,583523.0762,32914.13111
Rafael Peterson,lectus.a.sollicitudin@tortorat.net,USA,1,52,35069.418860000005,1851.979839,353757.5057,18761.9799
Roanna Knox,dolor.nonummy@metusurnaconvallis.net,USA,0,57,52422.94691,6998.46562,438067.7506,56742.29052
Marny Vargas,nonummy.Fusce.fermentum@ligula.org,USA,1,34,84467.78988,7772.444847,468238.7915,40611.91224
Charlotte Waller,odio@Nuncac.org,USA,1,43,51419.50777,11331.20447,636407.1148,46609.00116
Dorian Hernandez,conubia.nostra.per@diam.co.uk,USA,1,50,46609.516260000004,7592.019748000001,409419.5797,41663.81018
Armando Hensley,Class.aptent@torquentper.com,USA,1,42,55207.45679,9976.434857,286062.5162,29710.80177
Rowan Kidd,sapien.Aenean.massa@adipiscing.ca,USA,1,42,46689.4159,7829.5655019999995,615765.9289,39546.13737
Gwendolyn Rice,Duis@metusIn.com,USA,0,42,71847.2544,4225.328117,476088.3996,33449.85316
Gareth Morris,est.Nunc.laoreet@nullavulputatedui.edu,USA,0,55,69236.68608,9842.842611,242495.9886,52036.53339
Sawyer Carney,erat.Sed@Phasellus.ca,USA,0,53,54006.778510000004,15189.08845,246321.8916,43280.619810000004
Raya Shields,tincidunt.aliquam@orciluctuset.com,USA,0,53,47228.35999,9046.182396,456634.2073,43937.5062
Olga Serrano,risus@urnasuscipitnonummy.edu,USA,0,43,70187.50327999999,6841.540577,662176.4851,55028.93121
Yuli Craig,lobortis.quis.pede@Seddiam.com,USA,0,55,62262.94845,11785.879190000001,301026.2206,36567.11184
Lev Kramer,eu.odio@tristique.org,USA,1,43,59195.828989999995,8634.376790999999,573054.3808,47970.91327
Nissim Acosta,enim@at.net,USA,1,57,48716.67271,10886.917109999999,662382.6623,62588.968160000004
Miranda Berry,lorem@necmauris.ca,USA,1,52,66478.00967,13685.887019999998,356553.3996,58915.8897
Owen Jacobson,ac.orci@Etiamimperdietdictum.edu,USA,1,45,50280.0045,11350.49408,230728.3008,23849.001539999997
Marvin Becker,congue.elit@vestibulumneceuismod.ca,USA,0,56,57393.828720000005,5627.803654,411831.0371,51572.37555
Davis Scott,neque@variusultricesmauris.edu,USA,0,41,63429.931410000005,10676.218840000001,481335.3582,50034.651710000006
Matthew Colon,facilisis@Nullainterdum.edu,USA,1,48,59139.2108,4630.544424000001,473845.8546,43544.8969
Quinlan Harris,libero.nec@adipiscing.org,USA,1,56,67015.19372000001,13000.413690000001,355157.6417,42883.52667
Hedley Greene,eleifend@felis.org,USA,0,47,69157.4521,15791.61176,506986.9824,48808.08115
Orson Kirby,cursus@nectellus.co.uk,USA,1,53,50867.94007,16732.30638,344916.1768,26706.17897
Adria Mathis,Aliquam.rutrum.lorem@Donec.net,USA,1,57,53450.90036,8740.723093,309113.0627,35575.71917
Peter Stout,dictum.mi.ac@semperrutrumFusce.com,USA,0,39,70463.99084,10059.554059999999,278799.6958,47190.42392
Cleo Moore,pede.et@Sedeu.com,USA,0,45,52697.15192,861.8166528999999,540805.494,32757.24918
Cally Montoya,sit@pedeCum.ca,USA,1,33,71055.41924,6147.918843,441527.0144,34812.46139
Ila Farrell,lacus@velit.edu,USA,1,44,55406.46215,9522.576495000001,523251.2663,34614.68097
Abel Stanton,eu.lacus.Quisque@congue.edu,USA,1,40,48567.07462,9724.031647,407401.3776,31927.82494
Reed Roman,laoreet.libero@laoreetlectus.com,USA,0,40,69506.62127,5449.471997,409293.2658,27546.05128
September Puckett,tincidunt@consequatpurusMaecenas.net,USA,1,37,69453.71659,9565.830875,386128.1333,44705.0771
Teegan Barr,non.lorem.vitae@eratVivamus.org,USA,1,40,36929.351239999996,9719.192898000001,245664.3652,12524.2739
Alexander York,eu.odio.Phasellus@ipsumporta.edu,USA,1,44,63087.95261,11024.02643,496856.4912,49589.32542
Jared Green,laoreet@sagittis.edu,USA,0,43,50889.34054,11041.178909999999,448601.9484,22202.9556
Eagan Woodward,varius.et@Maecenas.edu,USA,1,58,58065.25694,4204.920492,388498.5102,48167.93844
Ferdinand Weber,metus.Vivamus@vitaeposuere.org,USA,1,32,20000.0,14261.80773,579181.6552,15132.71468
Kitra Kerr,scelerisque@Vivamusnon.co.uk,USA,1,50,60536.204060000004,8244.470226000001,173079.1798,30589.219189999996
Desirae Stone,Morbi.sit@Aliquamfringilla.ca,USA,1,59,50667.697589999996,9871.403591,536665.0464,48770.04249
Len Phillips,libero.lacus@Suspendisseseddolor.net,USA,1,42,44376.62221,13865.09055,259049.2824,21950.95673
Yen Santana,ornare.facilisis@ornarelibero.ca,USA,0,50,75958.28349,10562.90377,635512.3606,66980.33672
Martina Fuentes,elit@nequeIn.com,USA,1,53,70896.72853,11794.739140000001,398746.8458,52259.12064
Ariana Nash,vel.turpis.Aliquam@consequatpurus.edu,USA,1,47,56009.730729999996,11030.2654,391848.6041,38770.871419999996
Glenna Graham,sodales@maurisSuspendisse.com,USA,0,46,90556.62686,13872.5667,479586.9387,70678.52058
Holmes Lane,ac.orci@accumsaninterdum.co.uk,USA,1,43,71716.45662000001,8870.714301,165866.2,46469.388289999995
Emerald Hamilton,sit.amet.orci@facilisis.edu,USA,0,49,68502.10943,5831.118245000001,515084.1891,52824.718389999995
Gage Marquez,malesuada.vel@dictum.co.uk,USA,0,43,46261.426660000005,16767.2636,759479.4596,34926.6828
Travis Burks,dictum@liberolacusvarius.ca,USA,1,53,61858.19077000001,5189.0835640000005,706977.053,42610.44414
Otto Oneill,arcu.Morbi.sit@elementum.ca,USA,1,36,49483.83262,11811.25253,242292.92,9999.716669999998
Brian Mathews,vulputate.mauris.sagittis@orciluctus.com,USA,1,30,68289.18229,7357.787011,404457.3099,19899.736969999998
Ralph Rich,et@tellus.edu,USA,0,37,47399.22827,14562.641940000001,537744.1324,17965.77868
Yasir Tyler,pharetra.sed.hendrerit@adipiscinglobortisrisus.edu,USA,0,48,63975.0609,10614.85449,891439.8761,67303.24268
Dominic Mcintosh,Cras.vehicula@nibhPhasellusnulla.net,USA,0,44,75460.52362,6280.929547,296972.4085,35018.3343
Tanner Ward,diam@orciUt.ca,USA,0,42,51075.46118,12416.84845,450402.2932,40258.82395
Wing Gray,urna.nec@tempusscelerisquelorem.org,USA,1,50,42433.54619,7335.524826000001,386057.42100000003,20903.602400000003
Lionel Mcclure,odio.auctor.vitae@placeratorcilacus.edu,USA,1,30,61922.8971,10366.50326,323453.2022,16880.718539999998
Wing Parks,sagittis@magnased.ca,USA,1,42,69946.93923999999,9010.648633,778537.2095,56449.02495
Oleg Gordon,Nunc.sollicitudin.commodo@blanditat.co.uk,USA,1,46,73476.42249,9656.806156,386287.0208,48835.511739999994
Jamal Stephenson,lorem.lorem@in.edu,USA,1,55,75571.20188,12887.548990000001,416540.299,56256.539639999995
Kadeem Larsen,ornare.lectus.ante@lectusNullam.net,USA,0,44,82573.01132,1696.9897640000002,562605.0655,54481.32866
Todd Maldonado,dui.semper.et@aultricies.net,USA,0,58,50649.64492,11211.720159999999,565932.1861,46573.6756
Victor Yang,arcu.Vivamus.sit@egestasSed.com,USA,1,42,53427.46192,7903.103591,238529.6336,24345.60975
Quamar Cummings,mauris@convallisconvallisdolor.co.uk,USA,1,57,75247.18061,13258.46631,659279.2011,53229.89877999999
Dominic Hughes,cursus.vestibulum.Mauris@pedenonummy.com,USA,1,43,69175.19403,6039.594518999999,325701.4083,52252.02625
Lamar Hensley,erat@pedeac.co.uk,USA,0,35,84171.16719,12719.64415,244310.5736,29275.71843
Solomon Atkinson,Aliquam@laoreet.net,USA,0,43,45721.66835,14250.523980000002,790526.5507,37291.88647
Dean Snider,tempus@sit.ca,USA,0,35,54355.7595,10008.76797,573052.0119,37172.17618
Vernon Kidd,sapien.imperdiet.ornare@vitaeerat.edu,USA,1,34,77206.48386000001,8493.098575,411070.4828,50492.69644
Dolan Clayton,justo@est.ca,USA,0,48,57005.18595,12416.79083,408147.0405,33674.537130000004
Marvin Deleon,lectus.Nullam@congueelitsed.ca,USA,1,53,65809.10782,4820.8394450000005,692401.4668,50790.18101
Merrill Bailey,natoque.penatibus@nislsem.net,USA,0,47,65468.1442,7248.5414200000005,588570.8903,36722.615060000004
Adrian Brock,Cras.lorem@nonvestibulumnec.net,USA,0,54,60991.82442999999,7329.228509999999,586368.9293,63576.420379999996
Rigel Craft,diam.eu.dolor@Proin.com,USA,0,51,61809.074510000006,2620.079459,407733.5229,55457.44008
Chaim Lewis,luctus@ut.org,USA,0,59,66905.47644,10077.495920000001,651215.6435,61889.689060000004
Kyle Evans,magnis@vitaenibh.org,USA,0,49,65131.25015,6206.922109,53366.13861,41563.55194
Ulysses Craig,sit.amet@orci.ca,USA,1,51,83626.30782999999,8458.749819,167031.5554,59948.36511
Nolan Nixon,arcu@etultricesposuere.co.uk,USA,0,40,64328.278920000004,13860.43821,567357.0264,37825.20706
Oren Rosario,ultrices.Vivamus.rhoncus@lacusMauris.net,USA,1,53,69255.98753,18361.24915,339207.2774,52821.67997
Hector Bowers,eget@Morbiquisurna.co.uk,USA,1,45,60575.126039999996,8088.344365000001,291360.0291,35938.66481
Tate Molina,erat@sitamet.ca,USA,0,45,63729.12568,12507.19736,271430.0543,32135.64804
Julian Alexander,Integer.id.magna@consequatenimdiam.co.uk,USA,0,37,64315.736710000005,14871.36126,502946.8819,30329.572889999996
Lucian Medina,rutrum@temporbibendum.com,USA,0,43,51419.01644,9026.061543000002,362564.346,32947.52734
Todd Bass,Lorem.ipsum.dolor@et.edu,USA,0,48,53870.484829999994,14720.53399,701782.5279999999,35289.66097
Mannix Snow,elit@euismodenim.net,USA,0,49,56895.23153,9851.578109,580950.3967,35321.23482
Benedict Serrano,blandit.viverra@mollisDuis.co.uk,USA,1,48,52534.207780000004,7583.753853,401955.501,26103.461600000002
